device,framework,model,model_file,quantization,prompt_id,run_label,num_predict,wall_ms,ttft_ms,ollama_total_ms,load_ms,prompt_tokens,prompt_eval_ms,output_tokens,eval_ms,tokens_per_sec,ram_used_mb_avg,ram_used_mb_max,ram_total_mb_avg,ram_total_mb_max,swap_used_mb_avg,swap_used_mb_max,gr3d_freq_pct_avg,gr3d_freq_pct_max,temp_cpu_c_avg,temp_cpu_c_max,temp_gpu_c_avg,temp_gpu_c_max,board_power_input_avg,board_power_input_max,cpu_power_input_avg,cpu_power_input_max,gpu_power_input_avg,gpu_power_input_max,output_chars
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_10,cold,32,6460.70122718811,1427.7501106262207,5298.781302,415.908855,20,993.175866,32,3782.201246,8.460681470570274,2720.4166666666665,2721.0,3964.0,3964.0,784.0,784.0,0.0,0.0,44.833333333333336,46.5,37.791666666666664,38.0,4952.6,5905.0,2934.0,3599.0,40.2,41.0,162
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_14,cold,32,6556.707382202148,1791.0027503967285,6128.93142,464.732767,20,1308.217523,32,4246.882645,7.5349386067153725,2717.0,2720.0,3964.0,3964.0,784.0,784.0,0.0,0.0,44.69230769230769,46.5,37.65384615384615,38.0,5101.0,5631.0,3103.0,4078.0,40.2,41.0,164
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_17,cold,32,6375.9925365448,1221.7144966125488,5203.205475,421.314265,15,782.584329,32,3868.558267,8.271815439092622,2720.4166666666665,2721.0,3964.0,3964.0,784.0,784.0,0.0,0.0,44.875,47.0,37.625,38.0,4983.4,5864.0,2828.8,3276.0,40.2,41.0,152
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_21,cold,32,6471.083879470825,1350.8851528167725,5305.393685,413.298886,17,916.672689,32,3917.384046,8.168716578267292,2724.75,2726.0,3964.0,3964.0,784.0,784.0,0.0,0.0,45.166666666666664,47.0,37.833333333333336,38.0,4969.0,5905.0,2885.6,3397.0,40.2,41.0,195
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_24,cold,32,6586.741209030151,1719.0203666687012,5652.086688,404.973918,25,1273.249297,32,3837.861835,8.337976033470209,2726.769230769231,2728.0,3964.0,3964.0,784.0,784.0,7.615384615384615,99.0,45.15384615384615,47.0,37.73076923076923,38.0,5055.0,5864.0,2942.4,4159.0,40.2,41.0,157
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_01,cold,64,10712.57209777832,1504.1944980621338,10474.326322,425.602249,21,1060.050958,64,8878.623,7.208324984628811,2728.5238095238096,2732.0,3964.0,3964.0,784.0,784.0,0.0,0.0,45.785714285714285,47.0,37.76190476190476,38.0,5054.75,5824.0,3069.75,4119.0,40.125,41.0,315
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_04,cold,64,10096.852779388428,1358.3354949951172,9428.17627,408.195841,18,909.457126,64,7874.460975,8.127540437775806,2722.15,2723.0,3964.0,3964.0,784.0,784.0,0.0,0.0,45.8,47.5,37.9,38.0,5264.0,5905.0,2961.75,3240.0,40.125,41.0,400
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_08,cold,64,10460.249423980713,1344.1927433013916,9605.944575,411.841896,18,908.165411,64,8107.412947,7.894010138423013,2725.35,2727.0,3964.0,3964.0,784.0,784.0,0.0,0.0,45.45,47.0,37.95,38.5,5242.375,5945.0,2960.25,3362.0,40.125,41.0,287
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_10,cold,64,10520.80249786377,1441.4148330688477,10358.938178,431.206292,20,992.326481,64,8683.074793,7.370660915139719,2733.25,2737.0,3964.0,3964.0,784.1,785.0,0.0,0.0,45.75,47.0,38.3,38.5,5222.125,5905.0,2970.25,3524.0,40.125,41.0,310
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_14,cold,64,10383.665561676025,1484.6928119659424,10021.198049,406.803754,20,1038.547347,64,8467.407812,7.558393480150948,2730.4,2733.0,3964.0,3964.0,784.0,784.0,0.0,0.0,46.025,47.5,38.3,38.5,5479.5,5945.0,3176.0,3721.0,40.0,40.0,369
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_17,cold,64,10289.676666259766,1230.2258014678955,9345.206328,409.274472,15,804.7696,64,7925.743339,8.07495237513898,2728.8,2730.0,3964.0,3964.0,784.0,784.0,0.0,0.0,45.9,47.5,38.55,39.0,5153.5,5864.0,2885.625,3321.0,40.125,41.0,308
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_21,cold,64,10379.802942276001,1518.9268589019775,10332.881231,630.518959,17,867.889615,64,8693.498282,7.361823505793153,2715.85,2719.0,3964.0,3964.0,784.0,784.0,0.0,0.0,46.175,47.5,38.5,39.0,5117.125,5945.0,3125.75,3836.0,40.0,40.0,394
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_24,cold,64,10980.515241622925,643.6326503753662,10075.581939,544.195526,25,1287.074876,64,8013.364247,7.986658041154184,2723.0,2724.0,3964.0,3964.0,784.0,784.0,0.0,0.0,46.61904761904762,48.0,38.666666666666664,39.0,5542.625,5864.0,3346.375,4119.0,40.0,40.0,318
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_01,cold,128,19275.460243225098,1506.7710876464844,19109.549029,409.148557,21,1081.187235,128,17122.841884,7.475394614232017,2722.3684210526317,2725.0,3964.0,3964.0,784.0,784.0,0.0,0.0,46.64473684210526,48.0,38.921052631578945,39.5,5217.666666666667,5905.0,3100.733333333333,4159.0,40.06666666666667,41.0,611
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_04,cold,128,19595.641374588013,1439.032793045044,18558.42536,516.369983,18,910.472021,128,16850.220271,7.596339866268327,2728.025641025641,2729.0,3964.0,3964.0,784.0,784.0,0.0,0.0,46.32051282051282,48.0,39.0,39.5,5428.333333333333,5905.0,3142.866666666667,4159.0,40.0,40.0,832
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_08,cold,128,19656.75377845764,1371.8209266662598,19148.101578,419.493736,18,936.538243,128,17289.741602,7.403233833476929,2726.8205128205127,2729.0,3964.0,3964.0,784.0,784.0,0.0,0.0,46.666666666666664,48.0,39.05128205128205,39.5,5351.8,5945.0,3139.6,3438.0,40.06666666666667,41.0,578
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_10,cold,128,20088.061332702637,1415.5428409576416,19190.845256,404.895145,20,991.07306,128,17539.527215,7.297802183090373,2726.05,2728.0,3964.0,3964.0,784.0,784.0,0.0,0.0,46.8125,48.5,39.2375,39.5,5434.0,5986.0,3114.9333333333334,3640.0,40.06666666666667,41.0,646
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_14,cold,128,19521.106004714966,1496.7162609100342,18629.632167,405.404881,20,1074.058549,128,16695.410265,7.666777753185091,2728.2631578947367,2730.0,3964.0,3964.0,784.0,784.0,0.0,0.0,46.921052631578945,48.0,39.328947368421055,39.5,5303.266666666666,5905.0,3116.8,4159.0,42.8,81.0,739
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_17,cold,128,19592.63515472412,1177.4582862854004,19093.224515,411.778537,15,748.402855,128,17657.331552,7.249113470121242,2723.5897435897436,2726.0,3964.0,3964.0,784.0,784.0,0.0,0.0,47.03846153846154,48.5,39.34615384615385,39.5,5412.4,5671.0,3099.866666666667,3362.0,40.06666666666667,41.0,650
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_21,cold,128,19631.85691833496,1706.6690921783447,18661.738762,819.445559,17,871.352172,128,16471.041733,7.771214600443269,2726.076923076923,2727.0,3964.0,3964.0,784.0,784.0,0.0,0.0,46.97435897435897,48.5,39.3974358974359,39.5,5240.6,5905.0,3172.9333333333334,4119.0,40.06666666666667,41.0,801
yahboom_nano,Ollama,qwen3-0.6b-q8:latest,qwen3-0.6b-q8_0.gguf,Q8_0,edge_summary_24,cold,128,19893.754959106445,1981.0733795166016,19490.286342,415.241133,25,1540.412634,128,17320.25615,7.39019093548452,2727.3076923076924,2730.0,3964.0,3964.0,784.0,784.0,0.0,0.0,47.38461538461539,49.0,39.56410256410256,40.0,5351.0,5905.0,3087.266666666667,3367.0,40.06666666666667,41.0,594
